Date,AAPL,AMZN,AXP,BA,BHP,CAT,FB,GOOG,NFLX,MRK,JNJ,IVPAF,UFPI,SAM,RIO,PFE,WST,VALE,UTX,UNH
2/24/16,91.255333,554.039978,51.823738,106.312309,19.118187,60.069775,106.879997,699.559998,91.610001,45.797184,96.921944,0.515,23.655827,190.229996,21.295748,26.906359,60.548695,2.686985,87.248344,114.400909
2/25/16,91.882057,555.150024,52.535084,107.443573,19.143345,60.607738,108.07,705.75,94.529999,46.195724,98.233192,0.51,23.991928,191.919998,21.057758,27.41724,61.294033,2.567767,91.405243,115.352676
2/26/16,92.02449,555.22998,52.525597,108.676025,18.916943,60.972458,107.919998,705.070007,94.790001,45.869637,97.679161,0.505,24.287195,188.949997,20.942871,27.094576,61.696121,2.485232,91.051079,115.476418
2/29/16,91.815598,552.52002,52.71529,108.694412,18.95887,61.729248,106.919998,697.77002,93.410004,45.480141,97.152802,0.501,24.098726,188.110001,21.418846,26.592661,60.823296,2.696155,90.05378,113.353989
3/1/16,95.461998,579.039978,53.872398,110.331558,19.67161,62.996677,109.82,718.809998,98.300003,46.87508,99.008881,0.52,24.623295,189.059998,22.124599,26.924288,62.372803,2.934591,88.590485,115.800003
3/2/16,95.670914,580.210022,54.175915,110.046448,21.298334,63.261086,109.949997,718.849976,97.610001,47.346092,98.842651,0.549,24.717529,194.960007,23.437632,26.870506,62.588562,3.328926,89.037857,115.419273
3/3/16,96.383095,577.48999,55.095917,110.009644,21.675665,65.422089,109.580002,712.419983,97.93,47.192101,98.482529,0.587,24.821186,199.729996,23.708445,26.789839,62.912193,3.769115,89.578445,115.942772
3/4/16,97.816986,575.140015,55.285603,111.352463,23.210152,66.415924,108.389999,710.890015,101.580002,47.173988,98.344017,0.603,24.717529,198.720001,24.881968,26.628511,63.25544,4.016722,90.407951,115.923744
3/7/16,96.734444,562.799988,55.959011,113.035583,24.459543,68.175728,105.730003,695.159973,95.489998,47.681236,98.565628,0.619,25.050489,199.479996,26.219622,26.700214,63.608501,4.264328,90.333405,115.885674
3/8/16,95.936798,560.26001,56.366856,112.529724,22.312939,65.403831,105.93,693.969971,96.230003,47.509136,98.085472,0.58,24.519638,175.210007,23.782303,26.314812,62.706253,3.668239,90.314758,115.790489
3/9/16,96.022263,559.469971,56.006428,112.998787,22.881584,65.531487,107.510002,705.23999,98,47.427612,98.657951,0.61,24.965677,175.580002,23.847954,26.655401,62.922012,3.604044,90.035156,115.733147
3/10/16,96.069733,558.929993,55.721897,113.072372,22.525124,65.06646,107.32,712.820007,97.360001,48.043552,98.934998,0.629,24.525921,180.050003,23.462252,26.520958,62.657207,3.558191,89.643692,116.679268
3/11/16,97.104797,569.609985,56.395302,114.626717,23.102247,66.379463,109.410004,726.820007,97.660004,48.610058,99.461349,0.668,24.921703,184.020004,23.888987,27.336575,63.86348,3.512338,90.174942,119.555878
3/14/16,97.351677,573.369995,56.49963,116.199455,22.788225,66.315651,109.889999,730.48999,98.129997,48.50042,99.415192,0.647,24.704966,185.600006,23.585348,26.97806,63.608501,3.411462,90.249519,119.670555
3/15/16,99.307831,577.02002,56.177155,116.217865,21.226572,66.051224,110.669998,728.330017,97.860001,47.897358,99.507515,0.646,24.55105,181.699997,22.395414,26.476145,63.422165,3.246391,89.746216,119.316948
3/16/16,100.627762,574.27002,56.622932,117.330765,22.066811,67.783646,112.18,736.090027,99.349998,47.458771,99.184311,0.676,24.764647,185.179993,23.298122,26.028006,63.451588,3.649897,90.864655,119.364731
3/17/16,100.466324,559.440002,56.983349,120.209526,23.161661,69.206055,111.019997,737.780029,99.720001,47.084145,98.565628,0.713,25.308062,191.279999,24.176212,26.296888,63.500622,3.869991,92.122917,119.011124
3/18/16,100.580276,552.080017,58.064583,123.20787,23.271997,68.814003,111.449997,737.599976,101.120003,47.742027,99.267426,0.639,26.25354,190.449997,23.905399,26.395479,64.21653,3.824138,92.318657,121.104095
3/21/16,100.570778,553.97998,58.055107,124.955338,22.983431,69.196953,111.849998,742.090027,101.059998,48.244576,99.06427,0.67,25.597048,188.259995,23.724857,26.951172,64.138077,3.879162,92.430489,121.123184
3/22/16,101.339943,560.47998,57.486034,124.27475,22.669399,68.88694,112.25,740.75,99.839996,48.454731,99.156601,0.669,25.672434,187.770004,23.265297,27.229021,65.089355,3.879162,91.955162,122.346481
3/23/16,100.779694,569.630005,57.505005,122.196152,21.65942,67.181847,112.540001,738.059998,99.589996,48.50042,100.190834,0.63,25.402294,188.029999,22.707256,27.058727,64.10865,3.521509,92.374557,124.03801
